,Retorno_Medio_Simulado,Volatilidade_Simulada,Prob_Prejuizo,VaR_95%,CVaR_95%,Prob_Evento_Extremo,Volatilidade_Media_Simulada,Persistencia_Volatilidade,Correlacao_Preservada
Monte Carlo Clássico,-0.7838234554327508,0.6033941334396478,0.955,-0.9968489584472562,-0.9984358853866517,,,,
Bootstrapping,-0.892971687852351,1.5181736127126666,0.899,-2.2466374675960177,,,,,
Merton Jump,-0.8547498941979856,0.5258437093370407,0.968,,,0.98,,,
GARCH,-0.7898442525984035,,0.956,,,,1.8037579759805733,0.9909805020752879,
Cópula Gaussiana,-0.3193069509183422,1.2314740719619404,0.494,,,,,,0.06238601433132582
